date,volume,price
09:38:06,75500,6300.0
09:38:06,1000,6300.0
09:38:06,4000,6300.0
09:38:06,1000,6300.0
09:38:06,10000,6300.0
09:38:06,1186,6300.0
09:38:06,1105,6300.0
09:38:06,851,6300.0
09:38:24,15214,6290.0
09:38:33,4786,6290.0
09:38:33,807,6290.0
09:38:33,1600,6290.0
09:38:36,400,6290.0
09:38:36,891,6290.0
09:38:36,1000,6290.0
09:38:36,7851,6290.0
09:38:38,13500,6290.0
09:38:54,3549,6290.0
09:38:57,1000,6290.0
09:38:58,633,6290.0
09:39:10,4100,6290.0
09:39:18,892,6290.0
09:39:20,1400,6290.0
09:39:29,17075,6290.0
09:39:29,3553,6290.0
09:39:33,900,6300.0
09:39:34,1000,6290.0
09:39:36,6741,6290.0
09:39:39,850,6290.0
09:39:40,2000,6290.0
09:39:42,126790,6290.0
09:39:50,3577,6290.0
09:39:54,4744,6300.0
09:40:00,6000,6290.0
09:40:08,3600,6300.0
09:40:12,1628,6290.0
09:40:27,9219,6290.0
09:40:29,10000,6290.0
09:40:40,1000,6290.0
09:40:43,8000,6290.0
09:40:44,19642,6290.0
09:40:44,180358,6290.0
09:40:50,1350,6300.0
09:40:54,12805,6290.0
09:40:54,6837,6290.0
09:40:54,8163,6290.0
09:40:58,8438,6290.0
09:41:01,15446,6290.0
09:41:02,19248,6290.0
09:41:10,148705,6290.0
09:41:10,51295,6290.0
09:41:22,12807,6290.0
09:41:25,7416,6290.0
09:41:33,5000,6290.0
09:41:48,5000,6290.0
09:41:53,126,6290.0
09:42:00,5056,6300.0
09:42:01,1604,6290.0
09:42:08,267,6290.0
09:42:39,1000,6290.0
09:42:41,5000,6290.0
09:42:49,80000,6290.0
09:43:05,30485,6290.0
09:43:05,19515,6290.0
09:43:12,10308,6290.0
09:43:26,1000,6300.0
09:43:27,1000,6290.0
09:43:34,15000,6290.0
09:43:36,1000,6300.0
09:43:49,20000,6290.0
09:43:50,1580,6300.0
09:43:52,50717,6290.0
09:43:52,1000,6290.0
09:44:02,82460,6290.0
09:44:02,1000,6290.0
09:44:02,800,6290.0
09:44:02,1350,6290.0
09:44:02,1000,6290.0
09:44:02,113390,6290.0
09:44:05,28371,6290.0
09:44:05,810,6290.0
09:44:05,5860,6290.0
09:44:32,1000,6290.0
09:44:32,2222,6280.0
09:44:32,429,6280.0
09:44:40,1005,6280.0
09:44:40,4000,6280.0
09:44:40,2385,6280.0
09:44:40,1348,6280.0
09:44:40,2098,6280.0
09:44:42,8362,6280.0
09:44:46,825,6290.0
09:44:46,5831,6280.0
09:44:52,1661,6280.0
09:44:54,1587,6290.0
09:45:07,3876,6290.0
09:45:08,1500,6280.0
09:45:12,8165,6280.0
09:45:12,1492,6280.0
09:45:19,1240,6290.0
09:45:22,1000,6280.0
09:45:23,44000,6280.0
09:45:27,11848,6280.0
09:45:32,2900,6280.0
09:45:38,12007,6280.0
09:45:49,15000,6290.0
09:45:49,1000,6280.0
09:45:51,6082,6280.0
09:45:51,3998,6280.0
09:45:53,60102,6280.0
09:45:53,26543,6280.0
09:45:53,35190,6280.0
09:45:53,4810,6280.0
09:46:04,5000,6280.0
09:46:08,20000,6290.0
09:46:11,1608,6280.0
09:46:24,4000,6280.0
09:46:32,31906,6280.0
09:46:32,15779,6280.0
09:46:32,38399,6280.0
09:46:32,13603,6280.0
09:46:32,40697,6280.0
09:46:35,193,6290.0
09:46:49,1000,6280.0
09:46:55,34026,6280.0
09:46:55,20046,6280.0
09:46:55,25928,6280.0
09:47:02,533,6280.0
09:47:13,1000,6280.0
09:47:14,1000,6280.0
09:47:20,4397,6280.0
09:47:27,506,6280.0
09:47:27,10000,6280.0
09:47:32,1531,6280.0
09:47:34,6340,6290.0
09:47:43,1200,6280.0
09:47:45,10000,6280.0
09:47:57,950,6290.0
09:48:06,31678,6290.0
09:48:21,2000,6290.0
09:48:23,944,6280.0
09:48:30,2633,6280.0
09:48:32,1582,6290.0
09:48:33,391,6280.0
09:48:51,3849,6280.0
09:49:03,7200,6280.0
09:49:04,7116,6280.0
09:49:04,673,6280.0
09:49:04,3327,6280.0
09:49:07,70360,6280.0
09:49:07,20534,6280.0
09:49:07,62891,6280.0
09:49:07,46215,6280.0
09:49:08,2000,6290.0
09:49:10,640,6280.0
09:49:11,1000,6280.0
09:49:12,10000,6280.0
09:49:23,1444,6290.0
09:49:25,7919,6290.0
09:49:26,10000,6280.0
09:49:41,804,6280.0
09:49:45,850,6290.0
09:49:45,605,6280.0
09:50:04,1150,6280.0
09:50:09,1000,6280.0
09:50:13,5000,6290.0
09:50:24,12932,6280.0
09:50:24,6105,6280.0
09:50:29,20000,6280.0
09:50:34,1000,6280.0
09:50:34,5555,6280.0
09:50:35,800,6290.0
09:50:35,4044,6280.0
09:50:37,1627,6280.0
09:50:47,368,6280.0
09:50:55,49785,6280.0
09:50:55,70215,6280.0
09:50:56,4000,6290.0
09:50:58,5806,6280.0
09:51:13,17316,6280.0
09:51:13,40734,6280.0
09:51:13,92483,6280.0
09:51:13,43637,6280.0
09:51:13,5830,6280.0
09:51:14,1077,6290.0
09:51:19,2280,6280.0
09:51:20,4000,6280.0
09:51:23,4150,6280.0
09:51:32,1000,6290.0
09:51:34,6349,6280.0
09:51:50,2416,6280.0
09:51:51,26077,6280.0
09:51:51,10886,6280.0
09:51:51,20505,6280.0
09:51:51,45870,6280.0
09:51:51,66348,6280.0
09:51:51,30314,6280.0
09:52:10,1000,6280.0
09:52:23,1000,6290.0
09:52:33,1200,6290.0
09:52:51,830,6290.0
09:52:53,10000,6280.0
09:52:55,30000,6280.0
09:53:01,4000,6290.0
09:53:06,4000,6280.0
09:53:08,10523,6280.0
09:53:08,49386,6280.0
09:53:08,40091,6280.0
09:53:22,23658,6280.0
09:53:22,14773,6280.0
09:53:24,5143,6290.0
09:53:25,16402,6280.0
09:53:25,1681,6280.0
09:53:28,1055,6280.0
09:53:31,3000,6280.0
09:53:33,42425,6290.0
09:53:33,1000,6290.0
09:53:33,16575,6290.0
09:53:34,809,6280.0
09:53:50,1000,6280.0
09:53:52,10000,6280.0
09:53:53,1000,6280.0
09:54:04,19000,6290.0
09:54:06,14000,6280.0
09:54:10,10000,6280.0
09:54:13,1000,6280.0
09:54:14,30000,6280.0
09:54:30,19114,6280.0
09:54:30,91735,6280.0
09:54:30,89151,6280.0
09:54:33,2000,6280.0
09:54:37,7749,6280.0
09:54:37,2251,6280.0
09:54:40,1500,6280.0
09:54:40,3022,6280.0
09:54:56,12678,6280.0
09:55:05,21593,6280.0
09:55:05,26057,6280.0
09:55:22,1433,6280.0
09:55:22,4957,6280.0
09:55:22,8610,6280.0
09:55:28,1774,6280.0
09:55:34,1852,6280.0
09:55:34,29,6280.0
09:55:34,5000,6280.0
09:55:40,1950,6290.0
09:55:50,759,6280.0
09:55:56,11500,6280.0
09:55:56,1583,6290.0
09:55:57,24904,6280.0
09:55:57,54309,6280.0
09:55:57,20787,6280.0
09:56:20,1012,6280.0
09:56:20,2000,6280.0
09:56:22,3681,6280.0
09:56:32,1060,6290.0
09:56:32,1089,6280.0
09:56:35,1000,6280.0
09:56:38,2000,6290.0
09:56:39,10000,6290.0
09:56:42,6623,6280.0
09:56:44,1000,6290.0
09:56:44,50086,6280.0
09:56:44,49914,6280.0
09:56:52,1021,6290.0
09:56:54,12000,6280.0
09:56:55,29258,6280.0
09:56:55,18602,6280.0
09:57:08,1808,6280.0
09:57:18,80000,6290.0
09:57:20,1461,6280.0
09:57:20,13034,6280.0
09:57:21,30000,6280.0
09:57:30,3167,6290.0
09:57:38,33939,6280.0
09:57:38,66061,6280.0
09:57:39,3802,6280.0
