date,str_date,Open,Symbol,Name,Close,Last Trade,Quantity,Volume,Value,Min,Max,Yesterday Price,Change
2020-04-18,2020-04-18,8786.0,لوتوس,تامين سرمايه لوتوس پارسيان,8786.0,8786.0,743,6046153,53121500258.0,8786.0,8786.0,8368.0,418.0
2020-04-18,2020-04-18,14483.0,ونفت,سرمايه‌گذاري‌ صنعت‌ نفت‌,14483.0,14483.0,208,3650944,52876621952.0,14483.0,14483.0,13794.0,689.0
2020-04-18,2020-04-18,7884.0,ولملت,واسپاري ملت,7884.0,7884.0,387,7594609,59875897356.0,7884.0,7884.0,7509.0,375.0
2020-04-18,2020-04-18,14675.0,والبر,سرمايه‌ گذاري‌ البرز(هلدينگ‌,14675.0,14675.0,1596,4480544,65751983200.0,14675.0,14675.0,13977.0,698.0
2020-04-18,2020-04-18,63840.0,كماسه,تامين‌ ماسه‌ ريخته‌گري‌,63836.0,63840.0,1986,1418649,90560293428.0,63501.0,63840.0,60800.0,3036.0
2020-04-18,2020-04-18,12743.0,وتوكا,سرمايه‌گذاري‌توكافولاد(هلدينگ,12743.0,12743.0,1491,11647929,148429019625.0,12675.0,12743.0,12137.0,606.0
2020-04-18,2020-04-18,13479.0,ثفارس,عمران‌وتوسعه‌فارس‌,13479.0,13479.0,1726,22325768,300929026872.0,13479.0,13479.0,12838.0,641.0
2020-04-18,2020-04-18,10283.0,وبملت,بانك ملت,10283.0,10283.0,8929,142377245,1464041269187.0,10238.0,10283.0,9794.0,489.0
2020-04-18,2020-04-18,7066.0,تملت,تامين سرمايه بانك ملت,7066.0,7066.0,16771,29494614,208408942524.0,7066.0,7066.0,6730.0,336.0
2020-04-18,2020-04-18,11230.0,وبانك,سرمايه گذاري گروه توسعه ملي,11230.0,11230.0,524,6633712,74496585760.0,11230.0,11230.0,10696.0,534.0
2020-04-18,2020-04-18,5910.0,ثمسكن,سرمايه‌گذاري‌ مسكن‌,5910.0,5910.0,1982,17240934,101888016264.0,5890.0,5910.0,5629.0,281.0
2020-04-18,2020-04-18,4901.0,ولساپا,ليزينگ رايان‌ سايپا,4901.0,4901.0,3591,75543511,370238747411.0,4901.0,4901.0,4668.0,233.0
2020-04-18,2020-04-18,8835.0,فاراك,ماشين‌ سازي‌ اراك‌,8835.0,8835.0,823,6205350,54824267250.0,8835.0,8835.0,8415.0,420.0
2020-04-18,2020-04-18,7133.0,وسينا,بانك سينا,7133.0,7133.0,640,15981824,113998350592.0,7133.0,7133.0,6794.0,339.0
2020-04-18,2020-04-18,43709.0,غچين,كشت‌ و صنعت‌ چين‌ چين,43705.0,43709.0,2297,2638069,115297424486.0,43501.0,43709.0,41628.0,2077.0
2020-04-18,2020-04-18,6397.0,حفارس,حمل و نقل بين المللي خليج فارس,6397.0,6397.0,4338,31111175,199008638078.0,6380.0,6397.0,6093.0,304.0
2020-04-18,2020-04-18,57796.0,تيپيكو,سرمايه گذاري دارويي تامين,57790.0,57796.0,1684,2737102,158177314333.0,57605.0,57796.0,55044.0,2746.0
2020-04-18,2020-04-18,8019.0,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,8019.0,8019.0,854,6921811,55506002409.0,8019.0,8019.0,7638.0,381.0
2020-04-18,2020-04-18,7893.0,تاصيكو,سرمايه گذاري صدرتامين,7893.0,7893.0,1303,14968348,118145170764.0,7893.0,7893.0,7518.0,375.0
2020-04-18,2020-04-18,4799.0,وساپا,سرمايه‌گذاري‌ سايپا,4799.0,4799.0,4212,55300564,265387406636.0,4799.0,4799.0,4571.0,228.0
2020-04-18,2020-04-18,6715.0,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,6715.0,6715.0,3222,33243769,223222877169.0,6700.0,6715.0,6396.0,319.0
2020-04-18,2020-04-18,40748.0,غگرجي,بيسكويت‌  گرجي‌,40743.0,40748.0,4572,5978014,243563494341.0,40207.0,40748.0,38808.0,1935.0
2020-04-18,2020-04-18,5391.0,وپاسار,بانك  پاسارگاد,5391.0,5391.0,3421,79099345,426424568895.0,5391.0,5391.0,5135.0,256.0
2020-04-18,2020-04-18,41369.0,چكاوه,صنايع‌كاغذسازي‌كاوه‌,41387.0,41300.0,1926,2698491,111682012729.0,41300.0,41393.0,39422.0,1965.0
2020-04-18,2020-04-18,6445.0,ثاخت,بين‌المللي‌توسعه‌ساختمان,6445.0,6445.0,1170,9426118,60751330510.0,6445.0,6445.0,6139.0,306.0
2020-04-18,2020-04-18,17716.0,كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,17714.0,17716.0,2769,8230248,145792682919.0,17300.0,17716.0,16873.0,841.0
2020-04-18,2020-04-18,7042.0,وتوس,توسعه‌شهري‌توس‌گستر,7041.0,7042.0,1253,7660955,53941203137.0,6921.0,7042.0,6707.0,334.0
2020-04-18,2020-04-18,9174.0,ولغدر,ليزينگ‌خودروغدير,9173.0,9174.0,1308,10558942,96852719801.0,8800.0,9174.0,8738.0,435.0
2020-04-18,2020-04-18,13436.0,خكار,ايركا پارت صنعت,13434.0,13436.0,1262,4408710,59228122572.0,13300.0,13436.0,12797.0,637.0
2020-04-18,2020-04-18,17192.0,شيران,س. صنايع‌شيميايي‌ايران,17188.0,17192.0,8706,78335134,1346442178188.0,16500.0,17192.0,16374.0,814.0
2020-04-18,2020-04-18,23986.0,حكشتي,كشتيراني جمهوري اسلامي ايران,23979.0,23986.0,613,4350696,104355794256.0,23986.0,23986.0,22844.0,1135.0
2020-04-18,2020-04-18,9174.0,فملي,ملي‌ صنايع‌ مس‌ ايران‌,9172.0,9174.0,10498,108900297,998874147267.0,8796.0,9174.0,8738.0,434.0
2020-04-18,2020-04-18,26978.0,وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,26970.0,26978.0,2277,6390136,172339908402.0,26600.0,26978.0,25694.0,1276.0
2020-04-18,2020-04-18,89339.0,غشان,شيرپاستوريزه‌پگاه‌خراسان‌,89310.0,89339.0,1683,1073190,95846452620.0,89000.0,89339.0,85085.0,4225.0
2020-04-18,2020-04-18,9770.0,وپست,پست بانك ايران,9766.0,9770.0,495,5335404,52120537549.0,9700.0,9770.0,9305.0,461.0
2020-04-18,2020-04-18,996.0,وتجارت,بانك تجارت,996.0,996.0,10012,358465035,357031174860.0,996.0,996.0,949.0,47.0
2020-04-18,2020-04-18,42782.0,پاكشو,گروه صنعتي پاكشو,42762.0,42782.0,6214,7348418,314229522445.0,42500.0,42782.0,40745.0,2017.0
2020-04-18,2020-04-18,40132.0,كاذر,فرآورده‌هاي‌نسوزآذر,40113.0,40130.0,3913,6311786,253181624880.0,39024.0,40132.0,38221.0,1892.0
2020-04-18,2020-04-18,5875.0,خبهمن,گروه‌بهمن‌,5873.0,5875.0,3295,47206409,277258640874.0,5680.0,5875.0,5596.0,277.0
2020-04-18,2020-04-18,37277.0,شلعاب,لعابيران‌,37258.0,37277.0,5476,7420923,276486641386.0,36681.0,37277.0,35502.0,1756.0
